stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6973,0.5681,0.0001
StageA.warmup,1,val,0.6624,0.6154,0.0001
StageA.warmup,2,train,0.6559,0.6732,0.0001
StageA.warmup,2,val,0.6455,0.7231,0.0001
StageA.warmup,3,train,0.6345,0.6962,0.0001
StageA.warmup,3,val,0.6226,0.7154,0.0001
StageA.warmup,4,train,0.6145,0.7241,0.0001
StageA.warmup,4,val,0.6049,0.7462,0.0001
StageA.warmup,5,train,0.5977,0.7094,0.0001
StageA.warmup,5,val,0.6046,0.7,0.0001
StageA.warmup,6,train,0.5751,0.7504,0.0001
StageA.warmup,6,val,0.5877,0.7615,0.0001
StageA.warmup,7,train,0.5662,0.7603,0.0001
StageA.warmup,7,val,0.582,0.7769,0.0001
StageA.warmup,8,train,0.5585,0.7685,0.0001
StageA.warmup,8,val,0.5718,0.7769,0.0001
StageA.finetune,1,train,0.5132,0.8243,1e-05
StageA.finetune,1,val,0.5349,0.7692,1e-05
StageA.finetune,2,train,0.4801,0.821,9.993147673772869e-06
StageA.finetune,2,val,0.4789,0.8462,9.993147673772869e-06
StageA.finetune,3,train,0.4205,0.8719,9.972609476841366e-06
StageA.finetune,3,val,0.4261,0.8538,9.972609476841366e-06
StageA.finetune,4,train,0.3962,0.8588,9.938441702975689e-06
StageA.finetune,4,val,0.4062,0.8538,9.938441702975689e-06
StageA.finetune,5,train,0.3264,0.9113,9.890738003669029e-06
StageA.finetune,5,val,0.388,0.8846,9.890738003669029e-06
StageA.finetune,6,train,0.281,0.9327,9.829629131445342e-06
StageA.finetune,6,val,0.345,0.8769,9.829629131445342e-06
StageA.finetune,7,train,0.2264,0.9557,9.755282581475769e-06
StageA.finetune,7,val,0.312,0.8923,9.755282581475769e-06
StageA.finetune,8,train,0.2184,0.9475,9.667902132486009e-06
StageA.finetune,8,val,0.2794,0.9,9.667902132486009e-06
StageA.finetune,9,train,0.1776,0.9704,9.567727288213005e-06
StageA.finetune,9,val,0.2815,0.8923,9.567727288213005e-06
StageA.finetune,10,train,0.1779,0.9606,9.45503262094184e-06
StageA.finetune,10,val,0.2347,0.9154,9.45503262094184e-06
StageA.finetune,11,train,0.1355,0.9754,9.330127018922195e-06
StageA.finetune,11,val,0.2245,0.9154,9.330127018922195e-06
StageA.finetune,12,train,0.1253,0.9704,9.193352839727122e-06
StageA.finetune,12,val,0.2027,0.9154,9.193352839727122e-06
StageA.finetune,13,train,0.1057,0.9803,9.045084971874738e-06
StageA.finetune,13,val,0.1899,0.9308,9.045084971874738e-06
StageA.finetune,14,train,0.0964,0.9737,8.885729807284857e-06
StageA.finetune,14,val,0.1823,0.9308,8.885729807284857e-06
StageA.finetune,15,train,0.0975,0.9737,8.715724127386973e-06
