seed = 42
backbone = efficientnet_v2_s
input_size = 480x240

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageA.warmup] ep  1/8  train loss=0.682 acc=0.539  val acc=0.700  best=0.700  lr=1.0e-04
[StageA.warmup] ep  2/8  train loss=0.650 acc=0.655  val acc=0.746  best=0.746  lr=1.0e-04
[StageA.warmup] ep  3/8  train loss=0.622 acc=0.727  val acc=0.777  best=0.777  lr=1.0e-04
[StageA.warmup] ep  4/8  train loss=0.598 acc=0.744  val acc=0.777  best=0.777  lr=1.0e-04
[StageA.warmup] ep  5/8  train loss=0.587 acc=0.750  val acc=0.761  best=0.777  lr=1.0e-04
[StageA.warmup] ep  6/8  train loss=0.559 acc=0.747  val acc=0.785  best=0.785  lr=1.0e-04
[StageA.warmup] ep  7/8  train loss=0.554 acc=0.778  val acc=0.792  best=0.792  lr=1.0e-04
[StageA.warmup] ep  8/8  train loss=0.534 acc=0.762  val acc=0.808  best=0.808  lr=1.0e-04

-- StageA | finetune (all params) --
[StageA.finetune] ep  1/60  train loss=0.521 acc=0.778  val acc=0.785  best=0.808  lr=1.0e-05
[StageA.finetune] ep  2/60  train loss=0.459 acc=0.831  val acc=0.839  best=0.838  lr=1.0e-05
[StageA.finetune] ep  3/60  train loss=0.406 acc=0.862  val acc=0.831  best=0.838  lr=1.0e-05
[StageA.finetune] ep  4/60  train loss=0.369 acc=0.890  val acc=0.862  best=0.862  lr=9.9e-06
[StageA.finetune] ep  5/60  train loss=0.316 acc=0.918  val acc=0.862  best=0.862  lr=9.9e-06
[StageA.finetune] ep  6/60  train loss=0.271 acc=0.931  val acc=0.877  best=0.877  lr=9.8e-06
[StageA.finetune] ep  7/60  train loss=0.249 acc=0.931  val acc=0.915  best=0.915  lr=9.8e-06
[StageA.finetune] ep  8/60  train loss=0.204 acc=0.959  val acc=0.885  best=0.915  lr=9.7e-06
[StageA.finetune] ep  9/60  train loss=0.173 acc=0.961  val acc=0.915  best=0.915  lr=9.6e-06
[StageA.finetune] ep 10/60  train loss=0.135 acc=0.975  val acc=0.923  best=0.923  lr=9.5e-06
[StageA.finetune] ep 11/60  train loss=0.117 acc=0.979  val acc=0.931  best=0.931  lr=9.3e-06
[StageA.finetune] ep 12/60  train loss=0.094 acc=0.979  val acc=0.931  best=0.931  lr=9.2e-06
[StageA.finetune] ep 13/60  train loss=0.100 acc=0.982  val acc=0.939  best=0.938  lr=9.0e-06
[StageA.finetune] ep 14/60  train loss=0.089 acc=0.985  val acc=0.931  best=0.938  lr=8.9e-06
[StageA.finetune] ep 15/60  train loss=0.088 acc=0.979  val acc=0.939  best=0.938  lr=8.7e-06
[StageA.finetune] ep 16/60  train loss=0.078 acc=0.985  val acc=0.923  best=0.938  lr=8.5e-06
[StageA.finetune] ep 17/60  train loss=0.057 acc=0.990  val acc=0.939  best=0.938  lr=8.3e-06
[StageA.finetune] ep 18/60  train loss=0.075 acc=0.982  val acc=0.939  best=0.938  lr=8.1e-06
[StageA.finetune] ep 19/60  train loss=0.052 acc=0.989  val acc=0.939  best=0.938  lr=7.9e-06
[StageA.finetune] ep 20/60  train loss=0.054 acc=0.987  val acc=0.931  best=0.938  lr=7.7e-06
[StageA.finetune] ep 21/60  train loss=0.045 acc=0.990  val acc=0.939  best=0.938  lr=7.5e-06
[StageA.finetune] ep 22/60  train loss=0.048 acc=0.992  val acc=0.915  best=0.938  lr=7.3e-06
[StageA.finetune] ep 23/60  train loss=0.042 acc=0.990  val acc=0.946  best=0.946  lr=7.0e-06
[StageA.finetune] ep 24/60  train loss=0.031 acc=0.995  val acc=0.939  best=0.946  lr=6.8e-06
[StageA.finetune] ep 25/60  train loss=0.043 acc=0.993  val acc=0.946  best=0.946  lr=6.5e-06
[StageA.finetune] ep 26/60  train loss=0.028 acc=0.997  val acc=0.939  best=0.946  lr=6.3e-06
[StageA.finetune] ep 27/60  train loss=0.039 acc=0.992  val acc=0.946  best=0.946  lr=6.0e-06
[StageA.finetune] ep 28/60  train loss=0.028 acc=0.998  val acc=0.946  best=0.946  lr=5.8e-06
[StageA.finetune] ep 29/60  train loss=0.031 acc=0.997  val acc=0.954  best=0.954  lr=5.5e-06
[StageA.finetune] ep 30/60  train loss=0.025 acc=0.997  val acc=0.946  best=0.954  lr=5.3e-06
[StageA.finetune] ep 31/60  train loss=0.027 acc=0.997  val acc=0.946  best=0.954  lr=5.0e-06
[StageA.finetune] ep 32/60  train loss=0.028 acc=0.998  val acc=0.954  best=0.954  lr=4.7e-06
[StageA.finetune] ep 33/60  train loss=0.032 acc=0.992  val acc=0.939  best=0.954  lr=4.5e-06
[StageA.finetune] ep 34/60  train loss=0.021 acc=0.995  val acc=0.939  best=0.954  lr=4.2e-06
[StageA.finetune] ep 35/60  train loss=0.023 acc=0.998  val acc=0.946  best=0.954  lr=4.0e-06
[StageA.finetune] ep 36/60  train loss=0.045 acc=0.987  val acc=0.962  best=0.962  lr=3.7e-06
[StageA.finetune] ep 37/60  train loss=0.021 acc=0.995  val acc=0.946  best=0.962  lr=3.5e-06
[StageA.finetune] ep 38/60  train loss=0.022 acc=0.995  val acc=0.954  best=0.962  lr=3.2e-06
[StageA.finetune] ep 39/60  train loss=0.020 acc=0.997  val acc=0.954  best=0.962  lr=3.0e-06
[StageA.finetune] ep 40/60  train loss=0.022 acc=0.998  val acc=0.931  best=0.962  lr=2.7e-06
[StageA.finetune] ep 41/60  train loss=0.031 acc=0.995  val acc=0.954  best=0.962  lr=2.5e-06
[StageA.finetune] ep 42/60  train loss=0.034 acc=0.993  val acc=0.954  best=0.962  lr=2.3e-06
[StageA.finetune] ep 43/60  train loss=0.032 acc=0.989  val acc=0.962  best=0.962  lr=2.1e-06
[StageA.finetune] ep 44/60  train loss=0.022 acc=0.995  val acc=0.954  best=0.962  lr=1.9e-06
[StageA.finetune] ep 45/60  train loss=0.019 acc=0.998  val acc=0.954  best=0.962  lr=1.7e-06
[StageA.finetune] ep 46/60  train loss=0.025 acc=0.995  val acc=0.954  best=0.962  lr=1.5e-06
[StageA.finetune] ep 47/60  train loss=0.018 acc=0.998  val acc=0.946  best=0.962  lr=1.3e-06
[StageA.finetune] ep 48/60  train loss=0.018 acc=0.998  val acc=0.954  best=0.962  lr=1.1e-06
[StageA.finetune] ep 49/60  train loss=0.028 acc=0.993  val acc=0.954  best=0.962  lr=9.5e-07
[StageA.finetune] ep 50/60  train loss=0.019 acc=1.000  val acc=0.946  best=0.962  lr=8.1e-07
[StageA.finetune] ep 51/60  train loss=0.012 acc=1.000  val acc=0.954  best=0.962  lr=6.7e-07
[StageA.finetune] ep 52/60  train loss=0.016 acc=1.000  val acc=0.954  best=0.962  lr=5.4e-07
[StageA.finetune] ep 53/60  train loss=0.013 acc=1.000  val acc=0.954  best=0.962  lr=4.3e-07
[StageA.finetune] ep 54/60  train loss=0.019 acc=0.998  val acc=0.954  best=0.962  lr=3.3e-07
[StageA.finetune] ep 55/60  train loss=0.025 acc=0.995  val acc=0.954  best=0.962  lr=2.4e-07
[StageA.finetune] ep 56/60  train loss=0.023 acc=0.997  val acc=0.954  best=0.962  lr=1.7e-07
[StageA.finetune] ep 57/60  train loss=0.014 acc=0.998  val acc=0.946  best=0.962  lr=1.1e-07
[StageA.finetune] ep 58/60  train loss=0.037 acc=0.993  val acc=0.954  best=0.962  lr=6.2e-08
[StageA.finetune] ep 59/60  train loss=0.018 acc=1.000  val acc=0.939  best=0.962  lr=2.7e-08
[StageA.finetune] ep 60/60  train loss=0.028 acc=0.992  val acc=0.954  best=0.962  lr=6.9e-09

[StageA] best val acc = 0.9615  ->  E:\Users\a\Desktop\数模\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\models\efficientnet_v2_s_480x240_seed42\two_stage\stage_a_empty_vs_not.pth

========== StageB | label_map={'low': 0, 'medium': 1, 'high': 2} ==========
num_classes=3 | train n=385 | val n=82
train sampler: WeightedRandomSampler
train augmentation: Stage B light affine/crop
class counts (idx -> n):  {0: 58, 1: 93, 2: 234}
class weights (idx -> w): {0: 2.213, 1: 1.38, 2: 0.548}

-- StageB | warmup (fc only) --
[StageB.warmup] ep  1/8  train loss=1.049 acc=0.387  val acc=0.220  best=0.220  lr=1.0e-04
[StageB.warmup] ep  2/8  train loss=0.998 acc=0.333  val acc=0.220  best=0.220  lr=1.0e-04
[StageB.warmup] ep  3/8  train loss=0.979 acc=0.325  val acc=0.183  best=0.220  lr=1.0e-04
[StageB.warmup] ep  4/8  train loss=0.940 acc=0.356  val acc=0.195  best=0.220  lr=1.0e-04
[StageB.warmup] ep  5/8  train loss=0.962 acc=0.322  val acc=0.232  best=0.232  lr=1.0e-04
[StageB.warmup] ep  6/8  train loss=0.910 acc=0.395  val acc=0.146  best=0.232  lr=1.0e-04
[StageB.warmup] ep  7/8  train loss=0.919 acc=0.351  val acc=0.220  best=0.232  lr=1.0e-04
[StageB.warmup] ep  8/8  train loss=0.932 acc=0.364  val acc=0.220  best=0.232  lr=1.0e-04

-- StageB | finetune (all params) --
[StageB.finetune] ep  1/60  train loss=0.867 acc=0.413  val acc=0.256  best=0.256  lr=1.0e-05
[StageB.finetune] ep  2/60  train loss=0.847 acc=0.408  val acc=0.342  best=0.341  lr=1.0e-05
[StageB.finetune] ep  3/60  train loss=0.792 acc=0.509  val acc=0.488  best=0.488  lr=1.0e-05
[StageB.finetune] ep  4/60  train loss=0.783 acc=0.545  val acc=0.585  best=0.585  lr=9.9e-06
[StageB.finetune] ep  5/60  train loss=0.764 acc=0.545  val acc=0.549  best=0.585  lr=9.9e-06
[StageB.finetune] ep  6/60  train loss=0.710 acc=0.649  val acc=0.658  best=0.659  lr=9.8e-06
[StageB.finetune] ep  7/60  train loss=0.680 acc=0.694  val acc=0.671  best=0.671  lr=9.8e-06
[StageB.finetune] ep  8/60  train loss=0.653 acc=0.694  val acc=0.646  best=0.671  lr=9.7e-06
[StageB.finetune] ep  9/60  train loss=0.627 acc=0.717  val acc=0.695  best=0.695  lr=9.6e-06
[StageB.finetune] ep 10/60  train loss=0.590 acc=0.782  val acc=0.756  best=0.756  lr=9.5e-06
[StageB.finetune] ep 11/60  train loss=0.564 acc=0.797  val acc=0.720  best=0.756  lr=9.3e-06
[StageB.finetune] ep 12/60  train loss=0.516 acc=0.818  val acc=0.756  best=0.756  lr=9.2e-06
[StageB.finetune] ep 13/60  train loss=0.510 acc=0.844  val acc=0.744  best=0.756  lr=9.0e-06
[StageB.finetune] ep 14/60  train loss=0.463 acc=0.870  val acc=0.793  best=0.793  lr=8.9e-06
[StageB.finetune] ep 15/60  train loss=0.453 acc=0.865  val acc=0.780  best=0.793  lr=8.7e-06
[StageB.finetune] ep 16/60  train loss=0.402 acc=0.914  val acc=0.756  best=0.793  lr=8.5e-06
[StageB.finetune] ep 17/60  train loss=0.407 acc=0.906  val acc=0.744  best=0.793  lr=8.3e-06
[StageB.finetune] ep 18/60  train loss=0.347 acc=0.927  val acc=0.732  best=0.793  lr=8.1e-06
[StageB.finetune] ep 19/60  train loss=0.314 acc=0.922  val acc=0.732  best=0.793  lr=7.9e-06
[StageB.finetune] ep 20/60  train loss=0.326 acc=0.917  val acc=0.793  best=0.793  lr=7.7e-06
[StageB.finetune] ep 21/60  train loss=0.293 acc=0.951  val acc=0.817  best=0.817  lr=7.5e-06
[StageB.finetune] ep 22/60  train loss=0.267 acc=0.925  val acc=0.744  best=0.817  lr=7.3e-06
[StageB.finetune] ep 23/60  train loss=0.262 acc=0.946  val acc=0.744  best=0.817  lr=7.0e-06
[StageB.finetune] ep 24/60  train loss=0.255 acc=0.935  val acc=0.780  best=0.817  lr=6.8e-06
[StageB.finetune] ep 25/60  train loss=0.219 acc=0.943  val acc=0.780  best=0.817  lr=6.5e-06
[StageB.finetune] ep 26/60  train loss=0.191 acc=0.971  val acc=0.744  best=0.817  lr=6.3e-06
[StageB.finetune] ep 27/60  train loss=0.210 acc=0.961  val acc=0.805  best=0.817  lr=6.0e-06
[StageB.finetune] ep 28/60  train loss=0.186 acc=0.969  val acc=0.780  best=0.817  lr=5.8e-06
[StageB.finetune] ep 29/60  train loss=0.180 acc=0.964  val acc=0.768  best=0.817  lr=5.5e-06
[StageB.finetune] ep 30/60  train loss=0.173 acc=0.956  val acc=0.793  best=0.817  lr=5.3e-06
[StageB.finetune] ep 31/60  train loss=0.169 acc=0.977  val acc=0.768  best=0.817  lr=5.0e-06
[StageB.finetune] ep 32/60  train loss=0.175 acc=0.951  val acc=0.780  best=0.817  lr=4.7e-06
[StageB.finetune] ep 33/60  train loss=0.160 acc=0.961  val acc=0.756  best=0.817  lr=4.5e-06
[StageB.finetune] ep 34/60  train loss=0.159 acc=0.964  val acc=0.780  best=0.817  lr=4.2e-06
[StageB.finetune] ep 35/60  train loss=0.171 acc=0.961  val acc=0.720  best=0.817  lr=4.0e-06
[StageB.finetune] ep 36/60  train loss=0.137 acc=0.982  val acc=0.805  best=0.817  lr=3.7e-06
[StageB.finetune] ep 37/60  train loss=0.154 acc=0.969  val acc=0.793  best=0.817  lr=3.5e-06
[StageB.finetune] ep 38/60  train loss=0.159 acc=0.956  val acc=0.780  best=0.817  lr=3.2e-06
[StageB.finetune] ep 39/60  train loss=0.178 acc=0.943  val acc=0.780  best=0.817  lr=3.0e-06
[StageB.finetune] ep 40/60  train loss=0.147 acc=0.961  val acc=0.793  best=0.817  lr=2.7e-06
[StageB.finetune] ep 41/60  train loss=0.136 acc=0.977  val acc=0.780  best=0.817  lr=2.5e-06
[StageB.finetune] ep 42/60  train loss=0.135 acc=0.974  val acc=0.793  best=0.817  lr=2.3e-06
[StageB.finetune] ep 43/60  train loss=0.138 acc=0.971  val acc=0.780  best=0.817  lr=2.1e-06
[StageB.finetune] ep 44/60  train loss=0.123 acc=0.977  val acc=0.793  best=0.817  lr=1.9e-06
[StageB.finetune] ep 45/60  train loss=0.144 acc=0.969  val acc=0.793  best=0.817  lr=1.7e-06
[StageB.finetune] ep 46/60  train loss=0.140 acc=0.966  val acc=0.805  best=0.817  lr=1.5e-06
[StageB.finetune] ep 47/60  train loss=0.137 acc=0.971  val acc=0.805  best=0.817  lr=1.3e-06
[StageB.finetune] ep 48/60  train loss=0.147 acc=0.956  val acc=0.780  best=0.817  lr=1.1e-06
[StageB.finetune] ep 49/60  train loss=0.105 acc=0.990  val acc=0.793  best=0.817  lr=9.5e-07
[StageB.finetune] ep 50/60  train loss=0.135 acc=0.961  val acc=0.805  best=0.817  lr=8.1e-07
[StageB.finetune] ep 51/60  train loss=0.116 acc=0.971  val acc=0.780  best=0.817  lr=6.7e-07
[StageB.finetune] ep 52/60  train loss=0.128 acc=0.966  val acc=0.817  best=0.817  lr=5.4e-07
[StageB.finetune] ep 53/60  train loss=0.156 acc=0.958  val acc=0.793  best=0.817  lr=4.3e-07
[StageB.finetune] ep 54/60  train loss=0.105 acc=0.977  val acc=0.793  best=0.817  lr=3.3e-07
[StageB.finetune] ep 55/60  train loss=0.127 acc=0.982  val acc=0.793  best=0.817  lr=2.4e-07
[StageB.finetune] ep 56/60  train loss=0.119 acc=0.961  val acc=0.780  best=0.817  lr=1.7e-07
[StageB.finetune] ep 57/60  train loss=0.146 acc=0.961  val acc=0.793  best=0.817  lr=1.1e-07
[StageB.finetune] ep 58/60  train loss=0.140 acc=0.956  val acc=0.805  best=0.817  lr=6.2e-08
[StageB.finetune] ep 59/60  train loss=0.127 acc=0.966  val acc=0.805  best=0.817  lr=2.7e-08
[StageB.finetune] ep 60/60  train loss=0.131 acc=0.969  val acc=0.780  best=0.817  lr=6.9e-09

[StageB] best val acc = 0.8171  ->  E:\Users\a\Desktop\数模\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\models\efficientnet_v2_s_480x240_seed42\two_stage\stage_b_low_med_high.pth

Train log -> E:\Users\a\Desktop\数模\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\outputs\metrics\two_stage_train_log_efficientnet_v2_s_480x240_seed42.csv

Total time: 27.1 min
Summary | Stage A best val acc = 0.9615 | Stage B best val acc = 0.8171
