stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6816,0.5386,0.0001
StageA.warmup,1,val,0.6497,0.7,0.0001
StageA.warmup,2,train,0.6499,0.6552,0.0001
StageA.warmup,2,val,0.6247,0.7462,0.0001
StageA.warmup,3,train,0.6217,0.7274,0.0001
StageA.warmup,3,val,0.6106,0.7769,0.0001
StageA.warmup,4,train,0.598,0.7438,0.0001
StageA.warmup,4,val,0.597,0.7769,0.0001
StageA.warmup,5,train,0.5868,0.7504,0.0001
StageA.warmup,5,val,0.5747,0.7615,0.0001
StageA.warmup,6,train,0.559,0.7471,0.0001
StageA.warmup,6,val,0.5572,0.7846,0.0001
StageA.warmup,7,train,0.5544,0.7783,0.0001
StageA.warmup,7,val,0.5477,0.7923,0.0001
StageA.warmup,8,train,0.534,0.7619,0.0001
StageA.warmup,8,val,0.5434,0.8077,0.0001
StageA.finetune,1,train,0.5213,0.7783,1e-05
StageA.finetune,1,val,0.5083,0.7846,1e-05
StageA.finetune,2,train,0.4588,0.8309,9.993147673772869e-06
StageA.finetune,2,val,0.4571,0.8385,9.993147673772869e-06
StageA.finetune,3,train,0.4062,0.8621,9.972609476841366e-06
StageA.finetune,3,val,0.4215,0.8308,9.972609476841366e-06
StageA.finetune,4,train,0.3694,0.89,9.938441702975689e-06
StageA.finetune,4,val,0.3892,0.8615,9.938441702975689e-06
StageA.finetune,5,train,0.316,0.9179,9.890738003669029e-06
StageA.finetune,5,val,0.3679,0.8615,9.890738003669029e-06
StageA.finetune,6,train,0.2706,0.931,9.829629131445342e-06
StageA.finetune,6,val,0.318,0.8769,9.829629131445342e-06
StageA.finetune,7,train,0.2495,0.931,9.755282581475769e-06
StageA.finetune,7,val,0.2774,0.9154,9.755282581475769e-06
StageA.finetune,8,train,0.2042,0.9589,9.667902132486009e-06
StageA.finetune,8,val,0.273,0.8846,9.667902132486009e-06
StageA.finetune,9,train,0.1733,0.9606,9.567727288213005e-06
StageA.finetune,9,val,0.2621,0.9154,9.567727288213005e-06
StageA.finetune,10,train,0.1349,0.9754,9.45503262094184e-06
StageA.finetune,10,val,0.2348,0.9231,9.45503262094184e-06
StageA.finetune,11,train,0.1175,0.9787,9.330127018922195e-06
StageA.finetune,11,val,0.2169,0.9308,9.330127018922195e-06
StageA.finetune,12,train,0.0936,0.9787,9.193352839727122e-06
StageA.finetune,12,val,0.2097,0.9308,9.193352839727122e-06
StageA.finetune,13,train,0.0996,0.9819,9.045084971874738e-06
StageA.finetune,13,val,0.1944,0.9385,9.045084971874738e-06
StageA.finetune,14,train,0.0895,0.9852,8.885729807284857e-06
StageA.finetune,14,val,0.1789,0.9308,8.885729807284857e-06
StageA.finetune,15,train,0.0876,0.9787,8.715724127386973e-06
StageA.finetune,15,val,0.1769,0.9385,8.715724127386973e-06
StageA.finetune,16,train,0.0777,0.9852,8.53553390593274e-06
StageA.finetune,16,val,0.1751,0.9231,8.53553390593274e-06
StageA.finetune,17,train,0.0573,0.9901,8.345653031794293e-06
StageA.finetune,17,val,0.1675,0.9385,8.345653031794293e-06
StageA.finetune,18,train,0.0754,0.9819,8.146601955249189e-06
StageA.finetune,18,val,0.1644,0.9385,8.146601955249189e-06
StageA.finetune,19,train,0.052,0.9885,7.938926261462366e-06
StageA.finetune,19,val,0.1668,0.9385,7.938926261462366e-06
StageA.finetune,20,train,0.054,0.9869,7.723195175075136e-06
StageA.finetune,20,val,0.1593,0.9308,7.723195175075136e-06
StageA.finetune,21,train,0.0454,0.9901,7.5e-06
StageA.finetune,21,val,0.1573,0.9385,7.5e-06
StageA.finetune,22,train,0.048,0.9918,7.269952498697734e-06
StageA.finetune,22,val,0.1694,0.9154,7.269952498697734e-06
StageA.finetune,23,train,0.0424,0.9901,7.033683215379002e-06
StageA.finetune,23,val,0.1675,0.9462,7.033683215379002e-06
StageA.finetune,24,train,0.0306,0.9951,6.791839747726503e-06
StageA.finetune,24,val,0.144,0.9385,6.791839747726503e-06
StageA.finetune,25,train,0.0425,0.9934,6.545084971874738e-06
StageA.finetune,25,val,0.143,0.9462,6.545084971874738e-06
StageA.finetune,26,train,0.0284,0.9967,6.294095225512604e-06
StageA.finetune,26,val,0.1489,0.9385,6.294095225512604e-06
StageA.finetune,27,train,0.0386,0.9918,6.039558454088796e-06
StageA.finetune,27,val,0.1471,0.9462,6.039558454088796e-06
StageA.finetune,28,train,0.0281,0.9984,5.782172325201155e-06
StageA.finetune,28,val,0.1515,0.9462,5.782172325201155e-06
StageA.finetune,29,train,0.0313,0.9967,5.522642316338268e-06
StageA.finetune,29,val,0.1406,0.9538,5.522642316338268e-06
StageA.finetune,30,train,0.0252,0.9967,5.261679781214719e-06
StageA.finetune,30,val,0.1409,0.9462,5.261679781214719e-06
StageA.finetune,31,train,0.0271,0.9967,5.000000000000001e-06
StageA.finetune,31,val,0.1346,0.9462,5.000000000000001e-06
StageA.finetune,32,train,0.0278,0.9984,4.738320218785282e-06
StageA.finetune,32,val,0.1379,0.9538,4.738320218785282e-06
StageA.finetune,33,train,0.0321,0.9918,4.477357683661734e-06
StageA.finetune,33,val,0.1405,0.9385,4.477357683661734e-06
StageA.finetune,34,train,0.0209,0.9951,4.217827674798846e-06
StageA.finetune,34,val,0.1665,0.9385,4.217827674798846e-06
StageA.finetune,35,train,0.0232,0.9984,3.960441545911203e-06
StageA.finetune,35,val,0.1655,0.9462,3.960441545911203e-06
StageA.finetune,36,train,0.0446,0.9869,3.705904774487397e-06
StageA.finetune,36,val,0.1357,0.9615,3.705904774487397e-06
StageA.finetune,37,train,0.0211,0.9951,3.454915028125263e-06
StageA.finetune,37,val,0.1447,0.9462,3.454915028125263e-06
StageA.finetune,38,train,0.0218,0.9951,3.2081602522734987e-06
StageA.finetune,38,val,0.1475,0.9538,3.2081602522734987e-06
StageA.finetune,39,train,0.0197,0.9967,2.966316784620999e-06
StageA.finetune,39,val,0.1496,0.9538,2.966316784620999e-06
StageA.finetune,40,train,0.0218,0.9984,2.730047501302266e-06
