stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6939,0.5222,0.0001
StageA.warmup,1,val,0.6806,0.5769,0.0001
StageA.warmup,2,train,0.6633,0.6207,0.0001
StageA.warmup,2,val,0.6476,0.6769,0.0001
StageA.warmup,3,train,0.6347,0.6847,0.0001
StageA.warmup,3,val,0.6213,0.7231,0.0001
StageA.warmup,4,train,0.6116,0.6946,0.0001
StageA.warmup,4,val,0.6124,0.7308,0.0001
StageA.warmup,5,train,0.5863,0.757,0.0001
StageA.warmup,5,val,0.5926,0.7385,0.0001
StageA.warmup,6,train,0.5846,0.7406,0.0001
StageA.warmup,6,val,0.5805,0.7692,0.0001
StageA.warmup,7,train,0.5708,0.7356,0.0001
StageA.warmup,7,val,0.5758,0.7692,0.0001
StageA.warmup,8,train,0.5454,0.7849,0.0001
StageA.warmup,8,val,0.5615,0.7923,0.0001
StageA.finetune,1,train,0.5322,0.7898,1e-05
StageA.finetune,1,val,0.5288,0.8077,1e-05
StageA.finetune,2,train,0.4779,0.8177,9.993147673772869e-06
StageA.finetune,2,val,0.4947,0.8231,9.993147673772869e-06
StageA.finetune,3,train,0.4136,0.8801,9.972609476841366e-06
StageA.finetune,3,val,0.4531,0.8538,9.972609476841366e-06
StageA.finetune,4,train,0.366,0.9015,9.938441702975689e-06
StageA.finetune,4,val,0.4115,0.8538,9.938441702975689e-06
StageA.finetune,5,train,0.3325,0.9097,9.890738003669029e-06
StageA.finetune,5,val,0.3993,0.8692,9.890738003669029e-06
StageA.finetune,6,train,0.291,0.9212,9.829629131445342e-06
StageA.finetune,6,val,0.3543,0.8846,9.829629131445342e-06
StageA.finetune,7,train,0.2437,0.9425,9.755282581475769e-06
StageA.finetune,7,val,0.3308,0.8769,9.755282581475769e-06
StageA.finetune,8,train,0.2123,0.9606,9.667902132486009e-06
StageA.finetune,8,val,0.32,0.8846,9.667902132486009e-06
StageA.finetune,9,train,0.1987,0.9491,9.567727288213005e-06
StageA.finetune,9,val,0.2744,0.9,9.567727288213005e-06
StageA.finetune,10,train,0.1661,0.9639,9.45503262094184e-06
StageA.finetune,10,val,0.2576,0.8923,9.45503262094184e-06
StageA.finetune,11,train,0.1337,0.977,9.330127018922195e-06
StageA.finetune,11,val,0.2322,0.9077,9.330127018922195e-06
StageA.finetune,12,train,0.1179,0.9787,9.193352839727122e-06
StageA.finetune,12,val,0.2197,0.9,9.193352839727122e-06
StageA.finetune,13,train,0.1139,0.9721,9.045084971874738e-06
StageA.finetune,13,val,0.2035,0.9,9.045084971874738e-06
StageA.finetune,14,train,0.1011,0.9737,8.885729807284857e-06
StageA.finetune,14,val,0.2029,0.9308,8.885729807284857e-06
StageA.finetune,15,train,0.1012,0.9787,8.715724127386973e-06
StageA.finetune,15,val,0.1844,0.9231,8.715724127386973e-06
StageA.finetune,16,train,0.0875,0.9836,8.53553390593274e-06
StageA.finetune,16,val,0.1787,0.9385,8.53553390593274e-06
StageA.finetune,17,train,0.0853,0.9852,8.345653031794293e-06
StageA.finetune,17,val,0.1645,0.9462,8.345653031794293e-06
StageA.finetune,18,train,0.0665,0.9885,8.146601955249189e-06
StageA.finetune,18,val,0.1704,0.9231,8.146601955249189e-06
StageA.finetune,19,train,0.0525,0.9951,7.938926261462366e-06
StageA.finetune,19,val,0.151,0.9538,7.938926261462366e-06
StageA.finetune,20,train,0.0614,0.9901,7.723195175075136e-06
StageA.finetune,20,val,0.1743,0.9385,7.723195175075136e-06
StageA.finetune,21,train,0.054,0.9934,7.5e-06
StageA.finetune,21,val,0.1474,0.9538,7.5e-06
StageA.finetune,22,train,0.0614,0.9852,7.269952498697734e-06
StageA.finetune,22,val,0.1406,0.9692,7.269952498697734e-06
