seed = 2026
backbone = resnet50

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageA.finetune] ep 40/60  train loss=0.018 acc=0.998  val acc=0.923  best=0.954  lr=2.7e-06
[StageA.finetune] ep 41/60  train loss=0.022 acc=1.000  val acc=0.962  best=0.962  lr=2.5e-06
[StageA.finetune] ep 42/60  train loss=0.023 acc=0.998  val acc=0.939  best=0.962  lr=2.3e-06
[StageA.finetune] ep 43/60  train loss=0.021 acc=0.998  val acc=0.931  best=0.962  lr=2.1e-06
[StageA.finetune] ep 44/60  train loss=0.015 acc=1.000  val acc=0.946  best=0.962  lr=1.9e-06
[StageA.finetune] ep 45/60  train loss=0.021 acc=0.997  val acc=0.946  best=0.962  lr=1.7e-06
[StageA.finetune] ep 46/60  train loss=0.017 acc=1.000  val acc=0.931  best=0.962  lr=1.5e-06
[StageA.finetune] ep 47/60  train loss=0.026 acc=0.997  val acc=0.946  best=0.962  lr=1.3e-06
[StageA.finetune] ep 48/60  train loss=0.018 acc=0.997  val acc=0.946  best=0.962  lr=1.1e-06
[StageA.finetune] ep 49/60  train loss=0.029 acc=0.997  val acc=0.931  best=0.962  lr=9.5e-07
[StageA.finetune] ep 50/60  train loss=0.022 acc=1.000  val acc=0.946  best=0.962  lr=8.1e-07
[StageA.finetune] ep 51/60  train loss=0.018 acc=0.998  val acc=0.939  best=0.962  lr=6.7e-07
[StageA.finetune] ep 52/60  train loss=0.018 acc=1.000  val acc=0.946  best=0.962  lr=5.4e-07
[StageA.finetune] ep 53/60  train loss=0.016 acc=1.000  val acc=0.954  best=0.962  lr=4.3e-07
[StageA.finetune] ep 54/60  train loss=0.017 acc=0.998  val acc=0.931  best=0.962  lr=3.3e-07
[StageA.finetune] ep 55/60  train loss=0.018 acc=1.000  val acc=0.946  best=0.962  lr=2.4e-07
[StageA.finetune] ep 56/60  train loss=0.016 acc=1.000  val acc=0.946  best=0.962  lr=1.7e-07
[StageA.finetune] ep 57/60  train loss=0.017 acc=1.000  val acc=0.931  best=0.962  lr=1.1e-07
[StageA.finetune] ep 58/60  train loss=0.018 acc=0.998  val acc=0.939  best=0.962  lr=6.2e-08
[StageA.finetune] ep 59/60  train loss=0.028 acc=0.995  val acc=0.954  best=0.962  lr=2.7e-08
[StageA.finetune] ep 60/60  train loss=0.016 acc=1.000  val acc=0.954  best=0.962  lr=6.9e-09

[StageA] best val acc = 0.9615  ->  E:\Users\a\Desktop\��ģ\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\models\resnet\two_stage\stage_a_empty_vs_not.pth

========== StageB | label_map={'low': 0, 'medium': 1, 'high': 2} ==========
num_classes=3 | train n=385 | val n=82
train sampler: WeightedRandomSampler
train augmentation: Stage B light affine/crop
class counts (idx -> n):  {0: 58, 1: 93, 2: 234}
class weights (idx -> w): {0: 2.213, 1: 1.38, 2: 0.548}

-- StageB | warmup (fc only) --
[StageB.warmup] ep  1/8  train loss=1.034 acc=0.364  val acc=0.146  best=0.146  lr=1.0e-04
[StageB.warmup] ep  2/8  train loss=0.972 acc=0.322  val acc=0.146  best=0.146  lr=1.0e-04
[StageB.warmup] ep  3/8  train loss=0.964 acc=0.304  val acc=0.183  best=0.183  lr=1.0e-04
[StageB.warmup] ep  4/8  train loss=0.933 acc=0.382  val acc=0.159  best=0.183  lr=1.0e-04
[StageB.warmup] ep  5/8  train loss=0.899 acc=0.371  val acc=0.146  best=0.183  lr=1.0e-04
[StageB.warmup] ep  6/8  train loss=0.890 acc=0.351  val acc=0.134  best=0.183  lr=1.0e-04
[StageB.warmup] ep  7/8  train loss=0.913 acc=0.330  val acc=0.232  best=0.232  lr=1.0e-04
[StageB.warmup] ep  8/8  train loss=0.864 acc=0.392  val acc=0.195  best=0.232  lr=1.0e-04

-- StageB | finetune (all params) --
[StageB.finetune] ep  1/60  train loss=0.859 acc=0.358  val acc=0.195  best=0.232  lr=1.0e-05
[StageB.finetune] ep  2/60  train loss=0.830 acc=0.395  val acc=0.268  best=0.268  lr=1.0e-05
[StageB.finetune] ep  3/60  train loss=0.814 acc=0.408  val acc=0.293  best=0.293  lr=1.0e-05
[StageB.finetune] ep  4/60  train loss=0.804 acc=0.395  val acc=0.305  best=0.305  lr=9.9e-06
[StageB.finetune] ep  5/60  train loss=0.757 acc=0.470  val acc=0.305  best=0.305  lr=9.9e-06
[StageB.finetune] ep  6/60  train loss=0.739 acc=0.525  val acc=0.354  best=0.354  lr=9.8e-06
[StageB.finetune] ep  7/60  train loss=0.729 acc=0.553  val acc=0.415  best=0.415  lr=9.8e-06
[StageB.finetune] ep  8/60  train loss=0.725 acc=0.530  val acc=0.488  best=0.488  lr=9.7e-06
[StageB.finetune] ep  9/60  train loss=0.619 acc=0.680  val acc=0.573  best=0.573  lr=9.6e-06
[StageB.finetune] ep 10/60  train loss=0.647 acc=0.595  val acc=0.585  best=0.585  lr=9.5e-06
[StageB.finetune] ep 11/60  train loss=0.636 acc=0.652  val acc=0.585  best=0.585  lr=9.3e-06
[StageB.finetune] ep 12/60  train loss=0.616 acc=0.680  val acc=0.610  best=0.610  lr=9.2e-06
[StageB.finetune] ep 13/60  train loss=0.582 acc=0.722  val acc=0.622  best=0.622  lr=9.0e-06
[StageB.finetune] ep 14/60  train loss=0.523 acc=0.764  val acc=0.646  best=0.646  lr=8.9e-06
[StageB.finetune] ep 15/60  train loss=0.541 acc=0.761  val acc=0.658  best=0.659  lr=8.7e-06
[StageB.finetune] ep 16/60  train loss=0.532 acc=0.748  val acc=0.646  best=0.659  lr=8.5e-06
[StageB.finetune] ep 17/60  train loss=0.533 acc=0.779  val acc=0.683  best=0.683  lr=8.3e-06
[StageB.finetune] ep 18/60  train loss=0.456 acc=0.836  val acc=0.671  best=0.683  lr=8.1e-06
[StageB.finetune] ep 19/60  train loss=0.428 acc=0.855  val acc=0.683  best=0.683  lr=7.9e-06
[StageB.finetune] ep 20/60  train loss=0.409 acc=0.862  val acc=0.683  best=0.683  lr=7.7e-06
[StageB.finetune] ep 21/60  train loss=0.443 acc=0.842  val acc=0.707  best=0.707  lr=7.5e-06
[StageB.finetune] ep 22/60  train loss=0.406 acc=0.844  val acc=0.683  best=0.707  lr=7.3e-06
[StageB.finetune] ep 23/60  train loss=0.365 acc=0.893  val acc=0.732  best=0.732  lr=7.0e-06
[StageB.finetune] ep 24/60  train loss=0.350 acc=0.873  val acc=0.720  best=0.732  lr=6.8e-06
[StageB.finetune] ep 25/60  train loss=0.356 acc=0.860  val acc=0.707  best=0.732  lr=6.5e-06
[StageB.finetune] ep 26/60  train loss=0.322 acc=0.909  val acc=0.707  best=0.732  lr=6.3e-06
[StageB.finetune] ep 27/60  train loss=0.307 acc=0.901  val acc=0.756  best=0.756  lr=6.0e-06
[StageB.finetune] ep 28/60  train loss=0.287 acc=0.883  val acc=0.756  best=0.756  lr=5.8e-06
[StageB.finetune] ep 29/60  train loss=0.286 acc=0.893  val acc=0.744  best=0.756  lr=5.5e-06
[StageB.finetune] ep 30/60  train loss=0.262 acc=0.906  val acc=0.756  best=0.756  lr=5.3e-06
[StageB.finetune] ep 31/60  train loss=0.243 acc=0.927  val acc=0.732  best=0.756  lr=5.0e-06
