stage,epoch,phase,loss,acc,lr
StageA.finetune,37,train,0.0138,0.9985,3.454915028125263e-06
StageA.finetune,37,val,0.2273,0.913,3.454915028125263e-06
StageA.finetune,38,train,0.012,1.0,3.2081602522734987e-06
StageA.finetune,38,val,0.2378,0.913,3.2081602522734987e-06
StageA.finetune,39,train,0.0097,1.0,2.966316784620999e-06
StageA.finetune,39,val,0.2374,0.9058,2.966316784620999e-06
StageA.finetune,40,train,0.0093,1.0,2.730047501302266e-06
StageA.finetune,40,val,0.2315,0.913,2.730047501302266e-06
StageA.finetune,41,train,0.0111,1.0,2.500000000000001e-06
StageA.finetune,41,val,0.2474,0.8986,2.500000000000001e-06
StageA.finetune,42,train,0.0089,1.0,2.276804824924866e-06
StageA.finetune,42,val,0.2371,0.913,2.276804824924866e-06
StageA.finetune,43,train,0.0107,0.9985,2.061073738537635e-06
StageA.finetune,43,val,0.2401,0.9058,2.061073738537635e-06
StageA.finetune,44,train,0.0193,0.9954,1.8533980447508138e-06
StageA.finetune,44,val,0.2343,0.913,1.8533980447508138e-06
StageA.finetune,45,train,0.0256,0.9938,1.6543469682057107e-06
StageA.finetune,45,val,0.2407,0.8986,1.6543469682057107e-06
StageA.finetune,46,train,0.0098,1.0,1.4644660940672628e-06
StageA.finetune,46,val,0.2426,0.913,1.4644660940672628e-06
StageA.finetune,47,train,0.0076,1.0,1.2842758726130296e-06
StageA.finetune,47,val,0.2451,0.9058,1.2842758726130296e-06
StageA.finetune,48,train,0.0188,0.9969,1.1142701927151456e-06
StageA.finetune,48,val,0.2382,0.913,1.1142701927151456e-06
StageA.finetune,49,train,0.01,1.0,9.549150281252633e-07
StageA.finetune,49,val,0.2323,0.913,9.549150281252633e-07
StageA.finetune,50,train,0.0113,0.9985,8.066471602728802e-07
StageA.finetune,50,val,0.2367,0.913,8.066471602728802e-07
StageA.finetune,51,train,0.0157,0.9985,6.698729810778064e-07
StageA.finetune,51,val,0.2334,0.913,6.698729810778064e-07
StageA.finetune,52,train,0.0126,0.9969,5.44967379058161e-07
StageA.finetune,52,val,0.2268,0.913,5.44967379058161e-07
StageA.finetune,53,train,0.0094,1.0,4.3227271178699507e-07
StageA.finetune,53,val,0.2423,0.8986,4.3227271178699507e-07
StageA.finetune,54,train,0.0117,1.0,3.3209786751399125e-07
StageA.finetune,54,val,0.2342,0.913,3.3209786751399125e-07
StageA.finetune,55,train,0.016,1.0,2.4471741852423233e-07
StageA.finetune,55,val,0.2385,0.913,2.4471741852423233e-07
StageA.finetune,56,train,0.0115,1.0,1.7037086855465844e-07
StageA.finetune,56,val,0.2404,0.9058,1.7037086855465844e-07
StageA.finetune,57,train,0.0123,1.0,1.0926199633097156e-07
StageA.finetune,57,val,0.2404,0.913,1.0926199633097156e-07
StageA.finetune,58,train,0.0095,1.0,6.15582970243117e-08
StageA.finetune,58,val,0.2272,0.913,6.15582970243117e-08
StageA.finetune,59,train,0.0098,1.0,2.7390523158632996e-08
StageA.finetune,59,val,0.2342,0.913,2.7390523158632996e-08
StageA.finetune,60,train,0.0116,0.9985,6.852326227130835e-09
StageA.finetune,60,val,0.2357,0.913,6.852326227130835e-09
StageB.warmup,1,train,1.0359,0.3561,0.0001
StageB.warmup,1,val,1.2411,0.1667,0.0001
StageB.warmup,2,train,1.0179,0.3137,0.0001
StageB.warmup,2,val,1.2473,0.1667,0.0001
StageB.warmup,3,train,0.9709,0.3679,0.0001
StageB.warmup,3,val,1.2526,0.1778,0.0001
StageB.warmup,4,train,0.9697,0.309,0.0001
StageB.warmup,4,val,1.2327,0.1667,0.0001
StageB.warmup,5,train,0.9579,0.3302,0.0001
StageB.warmup,5,val,1.1698,0.2222,0.0001
StageB.warmup,6,train,0.9363,0.3892,0.0001
StageB.warmup,6,val,1.1469,0.3,0.0001
StageB.warmup,7,train,0.9174,0.4198,0.0001
StageB.warmup,7,val,1.1317,0.2889,0.0001
StageB.warmup,8,train,0.912,0.3797,0.0001
StageB.warmup,8,val,1.1175,0.3444,0.0001
StageB.finetune,1,train,0.8798,0.4693,1e-05
StageB.finetune,1,val,1.1096,0.3667,1e-05
StageB.finetune,2,train,0.8537,0.4175,9.993147673772869e-06
StageB.finetune,2,val,1.0814,0.4,9.993147673772869e-06
StageB.finetune,3,train,0.8474,0.4481,9.972609476841366e-06
StageB.finetune,3,val,1.0321,0.4667,9.972609476841366e-06
StageB.finetune,4,train,0.7616,0.5448,9.938441702975689e-06
StageB.finetune,4,val,1.0248,0.5111,9.938441702975689e-06
StageB.finetune,5,train,0.7672,0.5613,9.890738003669029e-06
StageB.finetune,5,val,1.0027,0.5222,9.890738003669029e-06
StageB.finetune,6,train,0.7391,0.5825,9.829629131445342e-06
StageB.finetune,6,val,0.9792,0.5556,9.829629131445342e-06
