seed = 1
backbone = efficientnet_v2_s
input_size = 480x240

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageA.warmup] ep  1/8  train loss=0.696 acc=0.563  val acc=0.638  best=0.638  lr=1.0e-04
[StageA.warmup] ep  2/8  train loss=0.661 acc=0.649  val acc=0.669  best=0.669  lr=1.0e-04
[StageA.warmup] ep  3/8  train loss=0.639 acc=0.708  val acc=0.715  best=0.715  lr=1.0e-04
[StageA.warmup] ep  4/8  train loss=0.617 acc=0.718  val acc=0.731  best=0.731  lr=1.0e-04
[StageA.warmup] ep  5/8  train loss=0.600 acc=0.727  val acc=0.692  best=0.731  lr=1.0e-04
[StageA.warmup] ep  6/8  train loss=0.579 acc=0.739  val acc=0.739  best=0.738  lr=1.0e-04
[StageA.warmup] ep  7/8  train loss=0.568 acc=0.749  val acc=0.739  best=0.738  lr=1.0e-04
[StageA.warmup] ep  8/8  train loss=0.559 acc=0.773  val acc=0.739  best=0.738  lr=1.0e-04

-- StageA | finetune (all params) --
[StageA.finetune] ep  1/60  train loss=0.517 acc=0.813  val acc=0.792  best=0.792  lr=1.0e-05
[StageA.finetune] ep  2/60  train loss=0.473 acc=0.839  val acc=0.808  best=0.808  lr=1.0e-05
[StageA.finetune] ep  3/60  train loss=0.413 acc=0.872  val acc=0.831  best=0.831  lr=1.0e-05
[StageA.finetune] ep  4/60  train loss=0.374 acc=0.892  val acc=0.846  best=0.846  lr=9.9e-06
[StageA.finetune] ep  5/60  train loss=0.294 acc=0.926  val acc=0.862  best=0.862  lr=9.9e-06
[StageA.finetune] ep  6/60  train loss=0.250 acc=0.952  val acc=0.892  best=0.892  lr=9.8e-06
[StageA.finetune] ep  7/60  train loss=0.198 acc=0.959  val acc=0.885  best=0.892  lr=9.8e-06
[StageA.finetune] ep  8/60  train loss=0.190 acc=0.956  val acc=0.908  best=0.908  lr=9.7e-06
[StageA.finetune] ep  9/60  train loss=0.152 acc=0.967  val acc=0.900  best=0.908  lr=9.6e-06
[StageA.finetune] ep 10/60  train loss=0.152 acc=0.966  val acc=0.923  best=0.923  lr=9.5e-06
[StageA.finetune] ep 11/60  train loss=0.111 acc=0.980  val acc=0.931  best=0.931  lr=9.3e-06
[StageA.finetune] ep 12/60  train loss=0.097 acc=0.977  val acc=0.923  best=0.931  lr=9.2e-06
[StageA.finetune] ep 13/60  train loss=0.083 acc=0.989  val acc=0.946  best=0.946  lr=9.0e-06
[StageA.finetune] ep 14/60  train loss=0.081 acc=0.979  val acc=0.946  best=0.946  lr=8.9e-06
[StageA.finetune] ep 15/60  train loss=0.080 acc=0.982  val acc=0.931  best=0.946  lr=8.7e-06
[StageA.finetune] ep 16/60  train loss=0.068 acc=0.985  val acc=0.923  best=0.946  lr=8.5e-06
[StageA.finetune] ep 17/60  train loss=0.063 acc=0.985  val acc=0.939  best=0.946  lr=8.3e-06
[StageA.finetune] ep 18/60  train loss=0.069 acc=0.980  val acc=0.923  best=0.946  lr=8.1e-06
[StageA.finetune] ep 19/60  train loss=0.045 acc=0.995  val acc=0.931  best=0.946  lr=7.9e-06
[StageA.finetune] ep 20/60  train loss=0.038 acc=0.998  val acc=0.931  best=0.946  lr=7.7e-06
[StageA.finetune] ep 21/60  train loss=0.059 acc=0.990  val acc=0.931  best=0.946  lr=7.5e-06
[StageA.finetune] ep 22/60  train loss=0.038 acc=0.997  val acc=0.939  best=0.946  lr=7.3e-06
[StageA.finetune] ep 23/60  train loss=0.034 acc=0.997  val acc=0.939  best=0.946  lr=7.0e-06
[StageA.finetune] ep 24/60  train loss=0.040 acc=0.992  val acc=0.954  best=0.954  lr=6.8e-06
[StageA.finetune] ep 25/60  train loss=0.042 acc=0.990  val acc=0.946  best=0.954  lr=6.5e-06
