stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6957,0.5632,0.0001
StageA.warmup,1,val,0.6699,0.6385,0.0001
StageA.warmup,2,train,0.6608,0.6486,0.0001
StageA.warmup,2,val,0.6483,0.6692,0.0001
StageA.warmup,3,train,0.6394,0.7077,0.0001
StageA.warmup,3,val,0.6235,0.7154,0.0001
StageA.warmup,4,train,0.6172,0.7176,0.0001
StageA.warmup,4,val,0.6059,0.7308,0.0001
StageA.warmup,5,train,0.6004,0.7274,0.0001
StageA.warmup,5,val,0.6004,0.6923,0.0001
StageA.warmup,6,train,0.5786,0.7389,0.0001
StageA.warmup,6,val,0.5822,0.7385,0.0001
StageA.warmup,7,train,0.5682,0.7488,0.0001
StageA.warmup,7,val,0.5751,0.7385,0.0001
StageA.warmup,8,train,0.5595,0.7734,0.0001
StageA.warmup,8,val,0.5584,0.7385,0.0001
StageA.finetune,1,train,0.517,0.8128,1e-05
StageA.finetune,1,val,0.5123,0.7923,1e-05
StageA.finetune,2,train,0.4726,0.8391,9.993147673772869e-06
StageA.finetune,2,val,0.4668,0.8077,9.993147673772869e-06
StageA.finetune,3,train,0.4126,0.8719,9.972609476841366e-06
StageA.finetune,3,val,0.3995,0.8308,9.972609476841366e-06
StageA.finetune,4,train,0.3741,0.8916,9.938441702975689e-06
StageA.finetune,4,val,0.3709,0.8462,9.938441702975689e-06
StageA.finetune,5,train,0.2944,0.9261,9.890738003669029e-06
StageA.finetune,5,val,0.3508,0.8615,9.890738003669029e-06
StageA.finetune,6,train,0.2502,0.9524,9.829629131445342e-06
StageA.finetune,6,val,0.3218,0.8923,9.829629131445342e-06
StageA.finetune,7,train,0.1981,0.9589,9.755282581475769e-06
StageA.finetune,7,val,0.2906,0.8846,9.755282581475769e-06
StageA.finetune,8,train,0.1896,0.9557,9.667902132486009e-06
StageA.finetune,8,val,0.2542,0.9077,9.667902132486009e-06
StageA.finetune,9,train,0.1516,0.9672,9.567727288213005e-06
StageA.finetune,9,val,0.2593,0.9,9.567727288213005e-06
StageA.finetune,10,train,0.1516,0.9655,9.45503262094184e-06
StageA.finetune,10,val,0.2217,0.9231,9.45503262094184e-06
StageA.finetune,11,train,0.1112,0.9803,9.330127018922195e-06
StageA.finetune,11,val,0.2157,0.9308,9.330127018922195e-06
StageA.finetune,12,train,0.0968,0.977,9.193352839727122e-06
StageA.finetune,12,val,0.2004,0.9231,9.193352839727122e-06
StageA.finetune,13,train,0.0834,0.9885,9.045084971874738e-06
StageA.finetune,13,val,0.1837,0.9462,9.045084971874738e-06
StageA.finetune,14,train,0.0813,0.9787,8.885729807284857e-06
StageA.finetune,14,val,0.1778,0.9462,8.885729807284857e-06
StageA.finetune,15,train,0.0797,0.9819,8.715724127386973e-06
StageA.finetune,15,val,0.1779,0.9308,8.715724127386973e-06
StageA.finetune,16,train,0.0675,0.9852,8.53553390593274e-06
StageA.finetune,16,val,0.1793,0.9231,8.53553390593274e-06
StageA.finetune,17,train,0.0634,0.9852,8.345653031794293e-06
StageA.finetune,17,val,0.1712,0.9385,8.345653031794293e-06
StageA.finetune,18,train,0.0692,0.9803,8.146601955249189e-06
StageA.finetune,18,val,0.1684,0.9231,8.146601955249189e-06
StageA.finetune,19,train,0.0452,0.9951,7.938926261462366e-06
StageA.finetune,19,val,0.1744,0.9308,7.938926261462366e-06
StageA.finetune,20,train,0.0385,0.9984,7.723195175075136e-06
StageA.finetune,20,val,0.1619,0.9308,7.723195175075136e-06
StageA.finetune,21,train,0.0587,0.9901,7.5e-06
StageA.finetune,21,val,0.1712,0.9308,7.5e-06
StageA.finetune,22,train,0.0384,0.9967,7.269952498697734e-06
StageA.finetune,22,val,0.1658,0.9385,7.269952498697734e-06
StageA.finetune,23,train,0.0341,0.9967,7.033683215379002e-06
StageA.finetune,23,val,0.1585,0.9385,7.033683215379002e-06
StageA.finetune,24,train,0.0399,0.9918,6.791839747726503e-06
StageA.finetune,24,val,0.1423,0.9538,6.791839747726503e-06
StageA.finetune,25,train,0.0417,0.9901,6.545084971874738e-06
StageA.finetune,25,val,0.1564,0.9462,6.545084971874738e-06
StageA.finetune,26,train,0.0269,0.9984,6.294095225512604e-06
StageA.finetune,26,val,0.1582,0.9462,6.294095225512604e-06
StageA.finetune,27,train,0.0398,0.9951,6.039558454088796e-06
StageA.finetune,27,val,0.1415,0.9462,6.039558454088796e-06
StageA.finetune,28,train,0.0394,0.9901,5.782172325201155e-06
StageA.finetune,28,val,0.148,0.9462,5.782172325201155e-06
StageA.finetune,29,train,0.0371,0.9934,5.522642316338268e-06
StageA.finetune,29,val,0.1307,0.9538,5.522642316338268e-06
StageA.finetune,30,train,0.0255,0.9984,5.261679781214719e-06
StageA.finetune,30,val,0.1592,0.9462,5.261679781214719e-06
StageA.finetune,31,train,0.032,0.9934,5.000000000000001e-06
StageA.finetune,31,val,0.1688,0.9308,5.000000000000001e-06
StageA.finetune,32,train,0.0275,0.9967,4.738320218785282e-06
StageA.finetune,32,val,0.1378,0.9385,4.738320218785282e-06
StageA.finetune,33,train,0.0277,0.9967,4.477357683661734e-06
StageA.finetune,33,val,0.1381,0.9462,4.477357683661734e-06
StageA.finetune,34,train,0.0229,0.9984,4.217827674798846e-06
StageA.finetune,34,val,0.135,0.9385,4.217827674798846e-06
StageA.finetune,35,train,0.0181,0.9984,3.960441545911203e-06
StageA.finetune,35,val,0.1445,0.9462,3.960441545911203e-06
StageA.finetune,36,train,0.0265,0.9967,3.705904774487397e-06
StageA.finetune,36,val,0.1657,0.9462,3.705904774487397e-06
StageA.finetune,37,train,0.0153,0.9984,3.454915028125263e-06
StageA.finetune,37,val,0.1771,0.9462,3.454915028125263e-06
StageA.finetune,38,train,0.0208,0.9984,3.2081602522734987e-06
StageA.finetune,38,val,0.1494,0.9462,3.2081602522734987e-06
StageA.finetune,39,train,0.0215,0.9951,2.966316784620999e-06
StageA.finetune,39,val,0.1613,0.9462,2.966316784620999e-06
StageA.finetune,40,train,0.0179,0.9967,2.730047501302266e-06
StageA.finetune,40,val,0.1464,0.9538,2.730047501302266e-06
StageA.finetune,41,train,0.0166,1.0,2.500000000000001e-06
StageA.finetune,41,val,0.1509,0.9385,2.500000000000001e-06
StageA.finetune,42,train,0.0266,0.9934,2.276804824924866e-06
StageA.finetune,42,val,0.1587,0.9538,2.276804824924866e-06
StageA.finetune,43,train,0.0173,1.0,2.061073738537635e-06
StageA.finetune,43,val,0.1298,0.9385,2.061073738537635e-06
StageA.finetune,44,train,0.0197,0.9984,1.8533980447508138e-06
StageA.finetune,44,val,0.1292,0.9462,1.8533980447508138e-06
StageA.finetune,45,train,0.0188,0.9967,1.6543469682057107e-06
StageA.finetune,45,val,0.1468,0.9462,1.6543469682057107e-06
StageA.finetune,46,train,0.0109,1.0,1.4644660940672628e-06
StageA.finetune,46,val,0.1275,0.9385,1.4644660940672628e-06
StageA.finetune,47,train,0.0237,0.9934,1.2842758726130296e-06
StageA.finetune,47,val,0.1539,0.9462,1.2842758726130296e-06
StageA.finetune,48,train,0.0153,0.9967,1.1142701927151456e-06
StageA.finetune,48,val,0.1421,0.9385,1.1142701927151456e-06
StageA.finetune,49,train,0.0244,0.9951,9.549150281252633e-07
StageA.finetune,49,val,0.1439,0.9462,9.549150281252633e-07
StageA.finetune,50,train,0.0196,0.9984,8.066471602728802e-07
StageA.finetune,50,val,0.1406,0.9308,8.066471602728802e-07
StageA.finetune,51,train,0.0162,0.9984,6.698729810778064e-07
StageA.finetune,51,val,0.1329,0.9538,6.698729810778064e-07
StageA.finetune,52,train,0.018,0.9984,5.44967379058161e-07
StageA.finetune,52,val,0.1429,0.9538,5.44967379058161e-07
StageA.finetune,53,train,0.0139,1.0,4.3227271178699507e-07
StageA.finetune,53,val,0.153,0.9385,4.3227271178699507e-07
StageA.finetune,54,train,0.025,0.9934,3.3209786751399125e-07
StageA.finetune,54,val,0.1449,0.9462,3.3209786751399125e-07
StageA.finetune,55,train,0.0194,0.9967,2.4471741852423233e-07
StageA.finetune,55,val,0.131,0.9462,2.4471741852423233e-07
StageA.finetune,56,train,0.0161,1.0,1.7037086855465844e-07
StageA.finetune,56,val,0.1278,0.9538,1.7037086855465844e-07
StageA.finetune,57,train,0.0183,0.9967,1.0926199633097156e-07
StageA.finetune,57,val,0.1444,0.9462,1.0926199633097156e-07
StageA.finetune,58,train,0.014,1.0,6.15582970243117e-08
StageA.finetune,58,val,0.1319,0.9462,6.15582970243117e-08
StageA.finetune,59,train,0.017,0.9984,2.7390523158632996e-08
StageA.finetune,59,val,0.151,0.9462,2.7390523158632996e-08
StageA.finetune,60,train,0.0164,0.9951,6.852326227130835e-09
StageA.finetune,60,val,0.1559,0.9462,6.852326227130835e-09
StageB.warmup,1,train,1.0406,0.4026,0.0001
StageB.warmup,1,val,1.182,0.2317,0.0001
StageB.warmup,2,train,1.0046,0.3195,0.0001
StageB.warmup,2,val,1.2228,0.2317,0.0001
StageB.warmup,3,train,0.9542,0.3896,0.0001
StageB.warmup,3,val,1.243,0.2073,0.0001
StageB.warmup,4,train,0.9433,0.3636,0.0001
StageB.warmup,4,val,1.2027,0.2439,0.0001
StageB.warmup,5,train,0.9313,0.3818,0.0001
StageB.warmup,5,val,1.209,0.2195,0.0001
StageB.warmup,6,train,0.8979,0.3688,0.0001
StageB.warmup,6,val,1.2261,0.2073,0.0001
StageB.warmup,7,train,0.9117,0.3662,0.0001
StageB.warmup,7,val,1.2242,0.2439,0.0001
StageB.warmup,8,train,0.9238,0.3429,0.0001
StageB.warmup,8,val,1.1801,0.2195,0.0001
StageB.finetune,1,train,0.8868,0.3792,1e-05
StageB.finetune,1,val,1.1572,0.3293,1e-05
StageB.finetune,2,train,0.8435,0.4442,9.993147673772869e-06
StageB.finetune,2,val,1.0709,0.4268,9.993147673772869e-06
StageB.finetune,3,train,0.8007,0.5143,9.972609476841366e-06
StageB.finetune,3,val,1.0305,0.4756,9.972609476841366e-06
StageB.finetune,4,train,0.815,0.4909,9.938441702975689e-06
StageB.finetune,4,val,1.0112,0.561,9.938441702975689e-06
StageB.finetune,5,train,0.7748,0.5351,9.890738003669029e-06
StageB.finetune,5,val,0.9638,0.5976,9.890738003669029e-06
StageB.finetune,6,train,0.7235,0.6156,9.829629131445342e-06
