stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6698,0.6289,0.0001
StageA.warmup,1,val,0.6498,0.6692,0.0001
StageA.warmup,2,train,0.645,0.6634,0.0001
StageA.warmup,2,val,0.6266,0.7538,0.0001
StageA.warmup,3,train,0.6251,0.6913,0.0001
StageA.warmup,3,val,0.617,0.7231,0.0001
StageA.warmup,4,train,0.5954,0.7685,0.0001
StageA.warmup,4,val,0.6015,0.7846,0.0001
StageA.warmup,5,train,0.5801,0.7635,0.0001
StageA.warmup,5,val,0.5919,0.7615,0.0001
StageA.warmup,6,train,0.5647,0.78,0.0001
StageA.warmup,6,val,0.559,0.7692,0.0001
StageA.warmup,7,train,0.5531,0.7734,0.0001
StageA.warmup,7,val,0.5641,0.7462,0.0001
StageA.warmup,8,train,0.5342,0.7849,0.0001
StageA.warmup,8,val,0.5506,0.7692,0.0001
StageA.finetune,1,train,0.515,0.7865,1e-05
StageA.finetune,1,val,0.5043,0.7923,1e-05
StageA.finetune,2,train,0.4626,0.8243,9.993147673772869e-06
StageA.finetune,2,val,0.4565,0.8231,9.993147673772869e-06
StageA.finetune,3,train,0.3971,0.8785,9.972609476841366e-06
StageA.finetune,3,val,0.4112,0.8692,9.972609476841366e-06
StageA.finetune,4,train,0.3411,0.9097,9.938441702975689e-06
StageA.finetune,4,val,0.3663,0.8538,9.938441702975689e-06
StageA.finetune,5,train,0.2959,0.9245,9.890738003669029e-06
StageA.finetune,5,val,0.355,0.8462,9.890738003669029e-06
StageA.finetune,6,train,0.2462,0.9458,9.829629131445342e-06
StageA.finetune,6,val,0.2911,0.9,9.829629131445342e-06
StageA.finetune,7,train,0.218,0.9606,9.755282581475769e-06
StageA.finetune,7,val,0.2688,0.9154,9.755282581475769e-06
StageA.finetune,8,train,0.1834,0.9507,9.667902132486009e-06
StageA.finetune,8,val,0.2404,0.9154,9.667902132486009e-06
StageA.finetune,9,train,0.16,0.9655,9.567727288213005e-06
StageA.finetune,9,val,0.2237,0.9231,9.567727288213005e-06
StageA.finetune,10,train,0.1535,0.9688,9.45503262094184e-06
StageA.finetune,10,val,0.2188,0.9308,9.45503262094184e-06
StageA.finetune,11,train,0.1131,0.9819,9.330127018922195e-06
StageA.finetune,11,val,0.1939,0.9462,9.330127018922195e-06
StageA.finetune,12,train,0.0893,0.9869,9.193352839727122e-06
StageA.finetune,12,val,0.1825,0.9462,9.193352839727122e-06
StageA.finetune,13,train,0.0895,0.9869,9.045084971874738e-06
StageA.finetune,13,val,0.1789,0.9308,9.045084971874738e-06
StageA.finetune,14,train,0.0663,0.9918,8.885729807284857e-06
StageA.finetune,14,val,0.1642,0.9385,8.885729807284857e-06
StageA.finetune,15,train,0.0672,0.9885,8.715724127386973e-06
StageA.finetune,15,val,0.1537,0.9462,8.715724127386973e-06
StageA.finetune,16,train,0.0588,0.9901,8.53553390593274e-06
StageA.finetune,16,val,0.1493,0.9462,8.53553390593274e-06
StageA.finetune,17,train,0.0561,0.9918,8.345653031794293e-06
StageA.finetune,17,val,0.1462,0.9462,8.345653031794293e-06
StageA.finetune,18,train,0.0404,0.9934,8.146601955249189e-06
StageA.finetune,18,val,0.1533,0.9385,8.146601955249189e-06
StageA.finetune,19,train,0.0431,0.9918,7.938926261462366e-06
StageA.finetune,19,val,0.1361,0.9538,7.938926261462366e-06
StageA.finetune,20,train,0.0466,0.9901,7.723195175075136e-06
StageA.finetune,20,val,0.1554,0.9462,7.723195175075136e-06
StageA.finetune,21,train,0.0448,0.9901,7.5e-06
StageA.finetune,21,val,0.1507,0.9462,7.5e-06
StageA.finetune,22,train,0.0562,0.9901,7.269952498697734e-06
StageA.finetune,22,val,0.1439,0.9538,7.269952498697734e-06
StageA.finetune,23,train,0.0327,0.9934,7.033683215379002e-06
StageA.finetune,23,val,0.116,0.9692,7.033683215379002e-06
StageA.finetune,24,train,0.0374,0.9967,6.791839747726503e-06
StageA.finetune,24,val,0.1258,0.9615,6.791839747726503e-06
StageA.finetune,25,train,0.035,0.9967,6.545084971874738e-06
StageA.finetune,25,val,0.1358,0.9615,6.545084971874738e-06
StageA.finetune,26,train,0.0242,0.9984,6.294095225512604e-06
StageA.finetune,26,val,0.1234,0.9692,6.294095225512604e-06
StageA.finetune,27,train,0.0361,0.9951,6.039558454088796e-06
StageA.finetune,27,val,0.1199,0.9615,6.039558454088796e-06
StageA.finetune,28,train,0.0256,0.9984,5.782172325201155e-06
StageA.finetune,28,val,0.1158,0.9692,5.782172325201155e-06
StageA.finetune,29,train,0.0248,0.9934,5.522642316338268e-06
StageA.finetune,29,val,0.1268,0.9538,5.522642316338268e-06
StageA.finetune,30,train,0.025,0.9951,5.261679781214719e-06
StageA.finetune,30,val,0.1245,0.9692,5.261679781214719e-06
StageA.finetune,31,train,0.027,0.9934,5.000000000000001e-06
StageA.finetune,31,val,0.1167,0.9692,5.000000000000001e-06
StageA.finetune,32,train,0.0319,0.9918,4.738320218785282e-06
StageA.finetune,32,val,0.1243,0.9692,4.738320218785282e-06
StageA.finetune,33,train,0.0199,1.0,4.477357683661734e-06
StageA.finetune,33,val,0.1173,0.9538,4.477357683661734e-06
StageA.finetune,34,train,0.0247,0.9951,4.217827674798846e-06
StageA.finetune,34,val,0.1071,0.9538,4.217827674798846e-06
StageA.finetune,35,train,0.0195,0.9967,3.960441545911203e-06
StageA.finetune,35,val,0.1179,0.9538,3.960441545911203e-06
StageA.finetune,36,train,0.0184,0.9984,3.705904774487397e-06
StageA.finetune,36,val,0.1198,0.9538,3.705904774487397e-06
StageA.finetune,37,train,0.0286,0.9934,3.454915028125263e-06
StageA.finetune,37,val,0.095,0.9692,3.454915028125263e-06
StageA.finetune,38,train,0.0154,1.0,3.2081602522734987e-06
StageA.finetune,38,val,0.1239,0.9385,3.2081602522734987e-06
StageA.finetune,39,train,0.0121,1.0,2.966316784620999e-06
StageA.finetune,39,val,0.1024,0.9615,2.966316784620999e-06
