stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6763,0.5417,0.0001
StageA.warmup,1,val,0.6486,0.7319,0.0001
StageA.warmup,2,train,0.63,0.7824,0.0001
StageA.warmup,2,val,0.6127,0.7754,0.0001
StageA.warmup,3,train,0.6002,0.7747,0.0001
StageA.warmup,3,val,0.5829,0.7971,0.0001
StageA.warmup,4,train,0.575,0.7855,0.0001
StageA.warmup,4,val,0.556,0.8043,0.0001
StageA.warmup,5,train,0.5517,0.7824,0.0001
StageA.warmup,5,val,0.5484,0.8116,0.0001
StageA.warmup,6,train,0.5436,0.7978,0.0001
StageA.warmup,6,val,0.5244,0.8043,0.0001
StageA.warmup,7,train,0.5207,0.7948,0.0001
StageA.warmup,7,val,0.5056,0.8116,0.0001
StageA.warmup,8,train,0.5088,0.8102,0.0001
StageA.warmup,8,val,0.5025,0.8333,0.0001
StageA.finetune,1,train,0.479,0.8256,1e-05
StageA.finetune,1,val,0.4539,0.8406,1e-05
StageA.finetune,2,train,0.422,0.8472,9.993147673772869e-06
StageA.finetune,2,val,0.4254,0.8478,9.993147673772869e-06
StageA.finetune,3,train,0.3721,0.8796,9.972609476841366e-06
StageA.finetune,3,val,0.3925,0.8623,9.972609476841366e-06
StageA.finetune,4,train,0.319,0.9059,9.938441702975689e-06
StageA.finetune,4,val,0.3436,0.8841,9.938441702975689e-06
StageA.finetune,5,train,0.288,0.9306,9.890738003669029e-06
StageA.finetune,5,val,0.3205,0.8841,9.890738003669029e-06
StageA.finetune,6,train,0.229,0.9537,9.829629131445342e-06
StageA.finetune,6,val,0.2984,0.8841,9.829629131445342e-06
StageA.finetune,7,train,0.2176,0.9506,9.755282581475769e-06
StageA.finetune,7,val,0.2818,0.8696,9.755282581475769e-06
StageA.finetune,8,train,0.1903,0.9568,9.667902132486009e-06
StageA.finetune,8,val,0.2638,0.8913,9.667902132486009e-06
StageA.finetune,9,train,0.1432,0.9799,9.567727288213005e-06
StageA.finetune,9,val,0.2471,0.8913,9.567727288213005e-06
StageA.finetune,10,train,0.1249,0.9815,9.45503262094184e-06
StageA.finetune,10,val,0.2455,0.8913,9.45503262094184e-06
StageA.finetune,11,train,0.104,0.9892,9.330127018922195e-06
StageA.finetune,11,val,0.2427,0.8986,9.330127018922195e-06
StageA.finetune,12,train,0.0942,0.9877,9.193352839727122e-06
StageA.finetune,12,val,0.2292,0.9058,9.193352839727122e-06
StageA.finetune,13,train,0.0667,0.9969,9.045084971874738e-06
StageA.finetune,13,val,0.2343,0.9058,9.045084971874738e-06
StageA.finetune,14,train,0.0691,0.9938,8.885729807284857e-06
StageA.finetune,14,val,0.2309,0.8986,8.885729807284857e-06
StageA.finetune,15,train,0.0577,0.9938,8.715724127386973e-06
StageA.finetune,15,val,0.2347,0.9203,8.715724127386973e-06
StageA.finetune,16,train,0.052,0.9969,8.53553390593274e-06
StageA.finetune,16,val,0.2282,0.913,8.53553390593274e-06
StageA.finetune,17,train,0.0354,0.9985,8.345653031794293e-06
StageA.finetune,17,val,0.2201,0.9203,8.345653031794293e-06
StageA.finetune,18,train,0.0322,0.9985,8.146601955249189e-06
StageA.finetune,18,val,0.2194,0.913,8.146601955249189e-06
StageA.finetune,19,train,0.0302,1.0,7.938926261462366e-06
StageA.finetune,19,val,0.2214,0.913,7.938926261462366e-06
StageA.finetune,20,train,0.0408,0.9969,7.723195175075136e-06
StageA.finetune,20,val,0.2214,0.913,7.723195175075136e-06
StageA.finetune,21,train,0.0435,0.9877,7.5e-06
StageA.finetune,21,val,0.2286,0.913,7.5e-06
StageA.finetune,22,train,0.0276,0.9969,7.269952498697734e-06
StageA.finetune,22,val,0.2135,0.913,7.269952498697734e-06
StageA.finetune,23,train,0.0213,0.9985,7.033683215379002e-06
StageA.finetune,23,val,0.2139,0.913,7.033683215379002e-06
StageA.finetune,24,train,0.0244,1.0,6.791839747726503e-06
StageA.finetune,24,val,0.2208,0.913,6.791839747726503e-06
StageA.finetune,25,train,0.0233,0.9985,6.545084971874738e-06
StageA.finetune,25,val,0.2146,0.913,6.545084971874738e-06
StageA.finetune,26,train,0.0209,0.9985,6.294095225512604e-06
StageA.finetune,26,val,0.2256,0.913,6.294095225512604e-06
StageA.finetune,27,train,0.0261,0.9969,6.039558454088796e-06
StageA.finetune,27,val,0.2115,0.9203,6.039558454088796e-06
StageA.finetune,28,train,0.0168,0.9985,5.782172325201155e-06
StageA.finetune,28,val,0.2008,0.913,5.782172325201155e-06
StageA.finetune,29,train,0.0142,1.0,5.522642316338268e-06
StageA.finetune,29,val,0.2166,0.913,5.522642316338268e-06
StageA.finetune,30,train,0.0136,1.0,5.261679781214719e-06
StageA.finetune,30,val,0.2134,0.913,5.261679781214719e-06
StageA.finetune,31,train,0.0232,0.9938,5.000000000000001e-06
StageA.finetune,31,val,0.2143,0.913,5.000000000000001e-06
StageA.finetune,32,train,0.017,1.0,4.738320218785282e-06
StageA.finetune,32,val,0.2171,0.913,4.738320218785282e-06
StageA.finetune,33,train,0.0167,0.9969,4.477357683661734e-06
StageA.finetune,33,val,0.2205,0.913,4.477357683661734e-06
StageA.finetune,34,train,0.0183,0.9969,4.217827674798846e-06
StageA.finetune,34,val,0.2279,0.913,4.217827674798846e-06
StageA.finetune,35,train,0.0133,1.0,3.960441545911203e-06
StageA.finetune,35,val,0.2246,0.913,3.960441545911203e-06
StageA.finetune,36,train,0.0171,0.9985,3.705904774487397e-06
StageA.finetune,36,val,0.2348,0.9275,3.705904774487397e-06
StageA.finetune,37,train,0.011,1.0,3.454915028125263e-06
StageA.finetune,37,val,0.2253,0.9203,3.454915028125263e-06
StageA.finetune,38,train,0.0143,0.9969,3.2081602522734987e-06
StageA.finetune,38,val,0.2246,0.913,3.2081602522734987e-06
StageA.finetune,39,train,0.0297,0.9938,2.966316784620999e-06
StageA.finetune,39,val,0.218,0.913,2.966316784620999e-06
StageA.finetune,40,train,0.0151,1.0,2.730047501302266e-06
StageA.finetune,40,val,0.2262,0.9058,2.730047501302266e-06
StageA.finetune,41,train,0.0153,1.0,2.500000000000001e-06
StageA.finetune,41,val,0.222,0.9058,2.500000000000001e-06
