stage,epoch,phase,loss,acc,lr
StageA.finetune,37,train,0.0071,1.0,3.454915028125263e-06
StageA.finetune,37,val,0.2266,0.913,3.454915028125263e-06
StageA.finetune,38,train,0.0095,1.0,3.2081602522734987e-06
StageA.finetune,38,val,0.2312,0.9203,3.2081602522734987e-06
StageA.finetune,39,train,0.0129,1.0,2.966316784620999e-06
StageA.finetune,39,val,0.2237,0.9203,2.966316784620999e-06
StageA.finetune,40,train,0.0145,0.9985,2.730047501302266e-06
StageA.finetune,40,val,0.2304,0.9058,2.730047501302266e-06
StageA.finetune,41,train,0.0129,1.0,2.500000000000001e-06
StageA.finetune,41,val,0.2251,0.9275,2.500000000000001e-06
StageA.finetune,42,train,0.0093,1.0,2.276804824924866e-06
StageA.finetune,42,val,0.2267,0.9275,2.276804824924866e-06
StageA.finetune,43,train,0.0062,1.0,2.061073738537635e-06
StageA.finetune,43,val,0.2389,0.9058,2.061073738537635e-06
StageA.finetune,44,train,0.0135,0.9985,1.8533980447508138e-06
StageA.finetune,44,val,0.2312,0.9203,1.8533980447508138e-06
StageA.finetune,45,train,0.0153,0.9985,1.6543469682057107e-06
StageA.finetune,45,val,0.2279,0.9275,1.6543469682057107e-06
StageA.finetune,46,train,0.0118,1.0,1.4644660940672628e-06
StageA.finetune,46,val,0.2327,0.913,1.4644660940672628e-06
StageA.finetune,47,train,0.0108,1.0,1.2842758726130296e-06
StageA.finetune,47,val,0.2249,0.9203,1.2842758726130296e-06
StageA.finetune,48,train,0.0124,0.9985,1.1142701927151456e-06
StageA.finetune,48,val,0.2381,0.9058,1.1142701927151456e-06
StageA.finetune,49,train,0.0072,1.0,9.549150281252633e-07
StageA.finetune,49,val,0.2254,0.9203,9.549150281252633e-07
StageA.finetune,50,train,0.0115,1.0,8.066471602728802e-07
StageA.finetune,50,val,0.2359,0.9058,8.066471602728802e-07
StageA.finetune,51,train,0.0124,1.0,6.698729810778064e-07
StageA.finetune,51,val,0.2324,0.913,6.698729810778064e-07
StageA.finetune,52,train,0.0094,1.0,5.44967379058161e-07
StageA.finetune,52,val,0.2265,0.9203,5.44967379058161e-07
StageA.finetune,53,train,0.0084,1.0,4.3227271178699507e-07
StageA.finetune,53,val,0.2303,0.9275,4.3227271178699507e-07
StageA.finetune,54,train,0.008,1.0,3.3209786751399125e-07
StageA.finetune,54,val,0.2237,0.9275,3.3209786751399125e-07
StageA.finetune,55,train,0.0101,1.0,2.4471741852423233e-07
StageA.finetune,55,val,0.2466,0.9275,2.4471741852423233e-07
StageA.finetune,56,train,0.0268,0.9938,1.7037086855465844e-07
StageA.finetune,56,val,0.2383,0.9275,1.7037086855465844e-07
StageA.finetune,57,train,0.016,0.9985,1.0926199633097156e-07
StageA.finetune,57,val,0.2164,0.9275,1.0926199633097156e-07
StageA.finetune,58,train,0.0114,0.9969,6.15582970243117e-08
StageA.finetune,58,val,0.2232,0.9203,6.15582970243117e-08
StageA.finetune,59,train,0.0101,1.0,2.7390523158632996e-08
StageA.finetune,59,val,0.2316,0.913,2.7390523158632996e-08
StageA.finetune,60,train,0.0142,0.9985,6.852326227130835e-09
StageA.finetune,60,val,0.2331,0.9203,6.852326227130835e-09
StageB.warmup,1,train,1.0417,0.3396,0.0001
StageB.warmup,1,val,1.2088,0.1778,0.0001
StageB.warmup,2,train,1.0007,0.3019,0.0001
StageB.warmup,2,val,1.248,0.1889,0.0001
StageB.warmup,3,train,0.9557,0.3585,0.0001
StageB.warmup,3,val,1.2637,0.1778,0.0001
StageB.warmup,4,train,0.9453,0.3561,0.0001
StageB.warmup,4,val,1.2374,0.1889,0.0001
StageB.warmup,5,train,0.9344,0.342,0.0001
StageB.warmup,5,val,1.2198,0.1778,0.0001
StageB.warmup,6,train,0.8996,0.3844,0.0001
StageB.warmup,6,val,1.1953,0.1889,0.0001
StageB.warmup,7,train,0.9298,0.3396,0.0001
StageB.warmup,7,val,1.1417,0.2444,0.0001
StageB.warmup,8,train,0.9047,0.3915,0.0001
StageB.warmup,8,val,1.1082,0.3111,0.0001
StageB.finetune,1,train,0.8521,0.4363,1e-05
StageB.finetune,1,val,1.0937,0.3222,1e-05
StageB.finetune,2,train,0.8323,0.4599,9.993147673772869e-06
StageB.finetune,2,val,1.07,0.3444,9.993147673772869e-06
StageB.finetune,3,train,0.8007,0.4811,9.972609476841366e-06
StageB.finetune,3,val,1.0438,0.4333,9.972609476841366e-06
StageB.finetune,4,train,0.7673,0.5094,9.938441702975689e-06
StageB.finetune,4,val,1.0113,0.4667,9.938441702975689e-06
StageB.finetune,5,train,0.7613,0.5259,9.890738003669029e-06
StageB.finetune,5,val,0.9821,0.5222,9.890738003669029e-06
StageB.finetune,6,train,0.7578,0.559,9.829629131445342e-06
StageB.finetune,6,val,0.9583,0.5667,9.829629131445342e-06
StageB.finetune,7,train,0.7595,0.6061,9.755282581475769e-06
StageB.finetune,7,val,0.9343,0.6,9.755282581475769e-06
StageB.finetune,8,train,0.6746,0.6934,9.667902132486009e-06
StageB.finetune,8,val,0.9014,0.6556,9.667902132486009e-06
StageB.finetune,9,train,0.6491,0.7146,9.567727288213005e-06
StageB.finetune,9,val,0.8746,0.7111,9.567727288213005e-06
StageB.finetune,10,train,0.6313,0.7288,9.45503262094184e-06
StageB.finetune,10,val,0.8513,0.7111,9.45503262094184e-06
StageB.finetune,11,train,0.5993,0.7311,9.330127018922195e-06
StageB.finetune,11,val,0.8388,0.7111,9.330127018922195e-06
